gene_id,chr,start,end,gene_name,length
ENSG00000138095.18,chr2,43886508,43996005,LRPPRC,109497
ENSG00000196821.9,chr6,34587288,34696859,C6orf106,109571
ENSG00000101019.21,chr20,35302566,35412141,UQCC1,109575
ENSG00000160305.17,chr21,46458899,46569852,DIP2A,110953
ENSG00000272325.1,chr6,34281322,34392674,NUDT3,111352
ENSG00000176155.18,chr17,82101460,82212830,CCDC57,111370
ENSG00000015676.17,chr7,44379121,44490880,NUDCD3,111759
ENSG00000073921.17,chr11,85957684,86069882,PICALM,112198
ENSG00000070371.15,chr22,19179473,19291716,CLTCL1,112243
ENSG00000119969.14,chr10,94501434,94613905,HELLS,112471
ENSG00000253320.5,chr8,102864911,102977876,AZIN1-AS1,112965
ENSG00000102910.13,chr16,48244296,48357349,LONP2,113053
ENSG00000163125.15,chr1,150363091,150476566,RPRD2,113475
ENSG00000162341.16,chr11,69048897,69162440,TPCN2,113543
ENSG00000241058.3,chr10,18545652,18659285,NSUN6,113633
ENSG00000140575.12,chr15,90388218,90502243,IQGAP1,114025
ENSG00000135913.10,chr2,218453296,218568361,USP37,115065
ENSG00000140577.15,chr15,90529925,90645345,CRTC3,115420
ENSG00000196312.12,chr9,96897917,97013600,MFSD14C,115683
ENSG00000149262.16,chr11,77878757,77994678,INTS4,115921
ENSG00000119314.15,chr9,112217716,112333667,PTBP3,115951
ENSG00000146535.13,chr7,2728112,2844324,GNA12,116212
ENSG00000262879.5,chr17,46984045,47100323,RP11-156P1.3,116278
ENSG00000112584.13,chr6,170290703,170407065,FAM120B,116362
ENSG00000205659.10,chr14,74084796,74201235,LIN52,116439
ENSG00000178852.15,chr17,47323290,47441312,EFCAB13,118022
ENSG00000259673.5,chr15,67403619,67521684,IQCH-AS1,118065
ENSG00000158161.15,chr1,27970344,28088696,EYA3,118352
ENSG00000075413.17,chr14,103385392,103503831,MARK3,118439
ENSG00000152223.12,chr18,45847609,45967274,EPG5,119665
ENSG00000174989.12,chr12,116910956,117031148,FBXW8,120192
ENSG00000134444.13,chr18,62187258,62307829,KIAA1468,120571
ENSG00000088970.15,chr20,21125983,21246622,KIZ,120639
ENSG00000106603.18,chr7,43608456,43729717,COA1,121261
ENSG00000087301.8,chr14,52430590,52552522,TXNDC16,121932
ENSG00000186184.16,chr13,27620742,27744237,POLR1D,123495
ENSG00000215861.5,chr1,149197992,149321732,WI2-1896O14.1,123740
ENSG00000156414.18,chr14,103928462,104052667,TDRD9,124205
ENSG00000165752.16,chr10,132207492,132331847,STK32C,124355
ENSG00000032742.17,chr13,20567069,20691437,IFT88,124368
ENSG00000203666.12,chr1,245002121,245127164,EFCAB2,125043
ENSG00000267575.6,chr19,27793463,27918863,CTC-459F4.3,125400
ENSG00000066855.15,chr8,65644734,65771261,MTFR1,126527
ENSG00000198945.7,chr6,130013699,130141451,L3MBTL3,127752
ENSG00000129657.14,chr17,77088950,77217101,SEC14L1,128151
ENSG00000175662.17,chr17,17843511,17972422,TOM1L2,128911
ENSG00000131697.17,chr1,5862811,5992362,NPHP4,129551
ENSG00000077420.15,chr10,26438203,26567803,APBB1IP,129600
ENSG00000198089.15,chr22,31488746,31618490,SFI1,129744
ENSG00000182670.13,chr21,37073226,37203112,TTC3,129886
ENSG00000152527.13,chr2,43637273,43767987,PLEKHH2,130714
ENSG00000153208.16,chr2,111898479,112029561,MERTK,131082
ENSG00000152404.15,chr11,107326345,107457844,CWF19L2,131499
ENSG00000156535.13,chr6,73695785,73828316,CD109,132531
ENSG00000151208.16,chr10,77793544,77926526,DLG5,132982
ENSG00000101639.18,chr18,12991362,13125052,CEP192,133690
ENSG00000119139.17,chr9,69121264,69255208,TJP2,133944
ENSG00000104728.15,chr8,1823976,1958641,ARHGEF10,134665
ENSG00000136048.13,chr12,101877351,102012130,DRAM1,134779
ENSG00000124299.13,chr19,33386950,33521794,PEPD,134844
ENSG00000099810.18,chr9,21802543,21937651,MTAP,135108
ENSG00000006607.13,chr2,241356243,241491679,FARP2,135436
ENSG00000231365.5,chr1,119140459,119275973,RP11-418J17.1,135514
ENSG00000004534.14,chr3,49940007,50077252,RBM6,137245
ENSG00000155530.2,chr7,134127299,134264591,LRGUK,137292
ENSG00000106049.8,chr7,27525442,27662995,HIBADH,137553
ENSG00000186716.20,chr22,23179704,23318037,BCR,138333
ENSG00000182150.15,chr9,95875978,96014571,ERCC6L2,138593
ENSG00000223482.7,chr10,87203875,87342612,NUTM2A-AS1,138737
ENSG00000137513.9,chr11,78435961,78574874,NARS2,138913
ENSG00000155893.12,chr3,141228726,141367753,PXYLP1,139027
ENSG00000118961.14,chr2,20684014,20823130,LDAH,139116
ENSG00000148700.14,chr10,109996368,110135565,ADD3,139197
ENSG00000168904.14,chr15,99251362,99390729,LRRC28,139367
ENSG00000223797.5,chr3,40313802,40453329,ENTPD3-AS1,139527
ENSG00000153774.8,chr16,75293698,75433485,CFDP1,139787
ENSG00000165406.15,chr10,45454585,45594906,MARCH8,140321
ENSG00000146263.11,chr6,97142161,97283210,MMS22L,141049
ENSG00000166435.15,chr11,74807739,74949200,XRRA1,141461
ENSG00000146247.13,chr6,78935867,79078236,PHIP,142369
ENSG00000245937.7,chr5,127940426,128083172,LINC01184,142746
ENSG00000130396.20,chr6,167826922,167972023,AFDN,145101
ENSG00000145439.11,chr4,168863770,169010275,CBR4,146505
ENSG00000149311.18,chr11,108222484,108369102,ATM,146618
ENSG00000100330.15,chr22,29883155,30030866,MTMR3,147711
ENSG00000118507.15,chr6,131135666,131283535,AKAP7,147869
ENSG00000130856.15,chr18,76822607,76970727,ZNF236,148120
ENSG00000151348.13,chr11,44095549,44245429,EXT2,149880
ENSG00000169570.9,chr5,118837322,118988545,DTWD2,151223
ENSG00000124302.12,chr19,33621955,33773509,CHST8,151554
ENSG00000241973.10,chr22,20707691,20859417,PI4KA,151726
ENSG00000206530.10,chr3,113287460,113441610,CFAP44,154150
ENSG00000181827.14,chr15,56087280,56243266,RFX7,155986
ENSG00000187239.16,chr9,129887187,130043194,FNBP1,156007
ENSG00000073331.17,chr4,112285509,112442606,ALPK1,157097
ENSG00000088854.12,chr20,3249305,3407625,C20orf194,158320
ENSG00000214113.10,chr6,5102593,5260939,LYRM4,158346
ENSG00000011376.9,chr3,45388506,45549421,LARS2,160915
ENSG00000137845.14,chr15,58588807,58749978,ADAM10,161171
ENSG00000132394.10,chr3,128246836,128408646,EEFSEC,161810
ENSG00000225484.6,chr10,79663088,79825782,NUTM2B-AS1,162694
ENSG00000143924.18,chr2,42169350,42332548,EML4,163198
ENSG00000107263.18,chr9,131576770,131740074,RAPGEF1,163304
ENSG00000247828.7,chr5,88269071,88436685,TMEM161B-AS1,167614
ENSG00000188906.14,chr12,40196744,40369285,LRRK2,172541
ENSG00000188677.14,chr22,43999211,44172949,PARVB,173738
ENSG00000181031.15,chr17,212389,386254,RPH3AL,173865
ENSG00000229358.3,chr7,32580949,32755408,DPY19L1P1,174459
ENSG00000149084.12,chr11,43680680,43855305,HSD17B12,174625
ENSG00000133030.20,chr17,17042545,17217679,MPRIP,175134
ENSG00000125821.11,chr20,18587893,18763917,DTD1,176024
ENSG00000107779.13,chr10,86756601,86932838,BMPR1A,176237
ENSG00000112159.11,chr6,89642499,89819723,MDN1,177224
ENSG00000171530.13,chr5,77691166,77868780,TBCA,177614
ENSG00000150867.13,chr10,22534849,22714555,PIP4K2A,179706
ENSG00000135074.15,chr5,157395596,157575775,ADAM19,180179
ENSG00000196814.14,chr9,126326849,126507041,MVB12B,180192
ENSG00000181381.13,chr4,168356735,168537786,DDX60L,181051
ENSG00000112782.15,chr6,45898451,46080395,CLIC5,181944
ENSG00000157152.16,chr3,12004402,12191400,SYN2,186998
ENSG00000138468.15,chr3,101324205,101513241,SENP7,189036
ENSG00000164253.13,chr5,77425970,77620611,WDR41,194641
ENSG00000120071.13,chr17,46029916,46225389,KANSL1,195473
ENSG00000172954.13,chr2,30447226,30644225,LCLAT1,196999
ENSG00000155085.15,chr6,109492856,109691217,AK9,198361
ENSG00000119509.12,chr9,100099256,100301000,INVS,201744
ENSG00000166263.13,chr17,54968786,55173632,STXBP4,204846
ENSG00000100731.15,chr14,70907405,71115382,PCNX1,207977
ENSG00000171943.11,chr1,121184810,121392822,SRGAP2C,208012
ENSG00000134283.17,chr12,42238447,42448623,PPHLN1,210176
ENSG00000138688.15,chr4,122152333,122362758,KIAA1109,210425
ENSG00000141252.19,chr17,508668,721717,VPS53,213049
ENSG00000118473.21,chr1,66533383,66748299,SGIP1,214916
