gene_id,chr,start,end,gene_name,length
ENSG00000108961.13,chr17,8289644,8290058,RANGRF,414
ENSG00000274515.1,chr15,75645020,75645442,CTD-2026K11.5,422
ENSG00000233328.3,chr1,171670517,171670939,PFN1P1,422
ENSG00000213280.2,chr7,128570241,128570688,RP11-212P7.1,447
ENSG00000240898.1,chr17,3665220,3665702,RP11-48B14.1,482
ENSG00000275966.1,chr17,81345476,81345966,RP11-1055B8.9,490
ENSG00000269815.1,chr19,17296196,17296695,CTD-2278I10.4,499
ENSG00000258359.1,chr12,111669852,111670362,PCNPP1,510
ENSG00000275484.1,chr11,67374416,67374932,CTC-1337H24.4,516
ENSG00000198744.5,chr1,634377,634922,MTCO3P12,545
ENSG00000239951.1,chr2,89142574,89143160,IGKV3-20,586
ENSG00000275160.1,chr9,41479960,41480548,RP11-187C18.3,588
ENSG00000224415.1,chr7,103141349,103141939,RP11-401L13.4,590
ENSG00000225200.2,chr14,105978520,105979146,AB019441.29,626
ENSG00000233668.1,chr9,34223984,34224628,RP11-571F15.3,644
ENSG00000243466.1,chr2,88947301,88947957,IGKV1-5,656
ENSG00000259045.1,chr14,32484098,32484800,MTCO1P2,702
ENSG00000179085.7,chr1,155139891,155140595,DPM3,704
ENSG00000224892.6,chr13,51460558,51461315,RPS4XP16,757
ENSG00000231466.2,chr22,25349543,25350322,CTA-246H3.11,779
ENSG00000196183.5,chr14,104835997,104836852,RPS2P4,855
ENSG00000230383.1,chr7,137721985,137722846,AC009245.3,861
ENSG00000172974.11,chr2,65205108,65205988,AC007318.5,880
ENSG00000219470.1,chr6,43538822,43539703,RP3-337H4.6,881
ENSG00000227201.2,chr22,30046276,30047193,CNN2P1,917
ENSG00000276744.1,chr15,75452964,75453947,CTD-2562G15.3,983
ENSG00000273284.1,chr18,9259388,9260390,RP11-888D10.4,1002
ENSG00000268938.2,chr19,18531613,18532632,AC005387.3,1019
ENSG00000237821.1,chr7,133169416,133170514,AC083873.4,1098
ENSG00000214182.5,chr13,81689911,81691072,PTMAP5,1161
ENSG00000125968.8,chr20,31605283,31606515,ID1,1232
ENSG00000125148.6,chr16,56608199,56609497,MT2A,1298
ENSG00000254641.1,chr11,6608667,6610135,RP11-732A19.2,1468
ENSG00000238279.1,chr1,153533603,153535115,BX470102.3,1512
ENSG00000211662.2,chr22,22711689,22713203,IGLV3-21,1514
ENSG00000198225.5,chr6,63211446,63213024,FKBP1C,1578
ENSG00000214650.2,chr12,124513222,124514813,RP11-83B20.1,1591
ENSG00000283078.1,chr20,62066830,62068437,RP11-11M20.4,1607
ENSG00000267519.5,chr19,13834516,13836286,CTD-3252C9.4,1770
ENSG00000176907.4,chr8,40153455,40155308,C8orf4,1853
ENSG00000108551.4,chr17,17494437,17496395,RASD1,1958
ENSG00000087250.8,chr16,56589074,56591088,MT3,2014
ENSG00000168209.4,chr10,72273920,72276036,DDIT4,2116
ENSG00000168517.10,chr17,45160700,45162859,HEXIM2,2159
ENSG00000118137.9,chr11,116835751,116837950,APOA1,2199
ENSG00000259826.1,chr7,39947522,39949755,RP11-467D6.1,2233
ENSG00000279433.1,chr18,77108284,77110537,RP11-4B16.1,2253
ENSG00000265778.2,chr18,76491652,76493918,RP11-17M16.2,2266
ENSG00000158050.4,chr2,96143166,96145440,DUSP2,2274
ENSG00000174326.11,chr17,7041630,7043923,SLC16A11,2293
ENSG00000129226.13,chr17,7579467,7581963,CD68,2496
ENSG00000274220.1,chr16,75433836,75436392,RP11-77K12.9,2556
ENSG00000196366.3,chr9,136483495,136486067,C9orf163,2572
ENSG00000257135.5,chr2,10448694,10451327,RP11-320M2.1,2633
ENSG00000164406.7,chr5,132872322,132875046,LEAP2,2724
ENSG00000179611.3,chr13,43968424,43971199,DGKZP1,2775
ENSG00000114854.7,chr3,52451102,52454070,TNNC1,2968
ENSG00000186577.12,chr6,34246380,34249470,C6orf1,3090
ENSG00000062582.13,chr7,43866558,43869893,MRPS24,3335
ENSG00000115289.13,chr2,74505043,74508580,PCGF1,3537
ENSG00000139318.7,chr12,89347232,89351014,DUSP6,3782
ENSG00000279133.1,chr17,62003700,62007518,RP11-342K2.1,3818
ENSG00000166592.11,chr16,66921679,66925644,RRAD,3965
ENSG00000111057.10,chr12,52948871,52952901,KRT18,4030
ENSG00000167524.14,chr17,28609998,28614200,SGK494,4202
ENSG00000272374.1,chr6,35220370,35224630,RP3-329A5.8,4260
ENSG00000268573.1,chr18,35280867,35285177,RP11-158H5.7,4310
ENSG00000122852.14,chr10,79610939,79615455,SFTPA1,4516
ENSG00000172936.12,chr3,38138478,38143022,MYD88,4544
ENSG00000137040.9,chr9,6011043,6015625,RANBP6,4582
ENSG00000066322.14,chr1,43363397,43368074,ELOVL1,4677
ENSG00000120057.4,chr10,97766751,97771952,SFRP5,5201
ENSG00000257556.1,chr14,105093609,105099004,RP11-44N21.1,5395
ENSG00000182199.10,chr12,57229327,57234902,SHMT2,5575
ENSG00000136630.12,chr1,220879400,220885059,HLX,5659
ENSG00000182324.6,chr19,48461249,48466980,KCNJ14,5731
ENSG00000163157.14,chr1,151170519,151176284,TMOD4,5765
ENSG00000143333.6,chr1,182598623,182604408,RGS16,5785
ENSG00000131931.8,chr8,42836674,42843325,THAP1,6651
ENSG00000130706.12,chr20,62302093,62308855,ADRM1,6762
ENSG00000181029.8,chr19,7680843,7687703,TRAPPC5,6860
ENSG00000124253.10,chr20,57561080,57568112,PCK1,7032
ENSG00000174951.10,chr19,48748011,48755390,FUT1,7379
ENSG00000172725.13,chr11,67436351,67443821,CORO1B,7470
ENSG00000131779.10,chr1,145911350,145918837,PEX11B,7487
ENSG00000090659.17,chr19,7739994,7747564,CD209,7570
ENSG00000166523.7,chr12,8533305,8540963,CLEC4E,7658
ENSG00000237118.2,chr19,40818721,40826772,CYP2F2P,8051
ENSG00000241360.1,chr22,37658727,37666934,PDXP,8207
ENSG00000236200.5,chr1,43699765,43708138,KDM4A-AS1,8373
ENSG00000156097.12,chr1,109539872,109548406,GPR61,8534
ENSG00000091651.8,chr16,46689643,46698394,ORC6,8751
ENSG00000251562.7,chr11,65497762,65506516,MALAT1,8754
ENSG00000204220.11,chr6,33289528,33298401,PFDN6,8873
ENSG00000136206.3,chr7,44000889,44010122,SPDYE1,9233
ENSG00000197063.10,chr17,81918270,81927714,MAFG,9444
ENSG00000197324.8,chr14,22871613,22881580,LRP10,9967
ENSG00000183010.16,chr17,81932384,81942412,PYCR1,10028
ENSG00000160714.9,chr1,154548577,154559028,UBE2Q1,10451
ENSG00000179943.7,chr19,55591371,55601878,FIZ1,10507
ENSG00000141756.18,chr17,41812680,41823217,FKBP10,10537
ENSG00000170075.8,chr1,202122858,202133403,GPR37L1,10545
ENSG00000198298.12,chr10,43606407,43617903,ZNF485,11496
ENSG00000162385.10,chr1,53226892,53238609,MAGOH,11717
ENSG00000154451.14,chr1,89260749,89272804,GBP5,12055
ENSG00000259118.5,chr14,65082034,65094212,RP11-840I19.3,12178
ENSG00000236017.8,chrX,1401769,1414028,ASMTL-AS1,12259
ENSG00000170290.3,chr11,107707378,107719693,SLN,12315
ENSG00000143977.13,chr2,70281362,70293771,SNRPG,12409
ENSG00000134072.10,chr3,9757514,9769992,CAMK1,12478
